"Date","sulfate","nitrate","ID"
"2005-04-10",0.449,0.189,15
"2005-04-11",NA,NA,15
"2005-04-12",NA,NA,15
"2005-04-13",NA,NA,15
"2005-04-14",NA,NA,15
"2005-04-15",NA,NA,15
"2005-04-16",2.16,0.565,15
"2005-04-17",NA,NA,15
"2005-04-18",NA,NA,15
"2005-04-19",NA,NA,15
"2005-04-20",NA,NA,15
"2005-04-21",NA,NA,15
"2005-04-22",NA,0.871,15
"2005-04-23",NA,NA,15
"2005-04-24",NA,NA,15
"2005-04-25",NA,NA,15
"2005-04-26",NA,NA,15
"2005-04-27",NA,NA,15
"2005-04-28",1.07,0.313,15
"2005-04-29",NA,NA,15
"2005-04-30",NA,NA,15
"2005-05-01",NA,NA,15
"2005-05-02",NA,NA,15
"2005-05-03",NA,NA,15
"2005-05-04",1.6,0.344,15
"2005-05-05",NA,NA,15
"2005-05-06",NA,NA,15
"2005-05-07",NA,NA,15
"2005-05-08",NA,NA,15
"2005-05-09",NA,NA,15
"2005-05-10",NA,NA,15
"2005-05-11",NA,NA,15
"2005-05-12",NA,NA,15
"2005-05-13",NA,NA,15
"2005-05-14",NA,NA,15
"2005-05-15",NA,NA,15
"2005-05-16",NA,NA,15
"2005-05-17",NA,NA,15
"2005-05-18",NA,NA,15
"2005-05-19",NA,NA,15
"2005-05-20",NA,NA,15
"2005-05-21",NA,NA,15
"2005-05-22",1.18,0.261,15
"2005-05-23",NA,NA,15
"2005-05-24",NA,NA,15
"2005-05-25",NA,NA,15
"2005-05-26",NA,NA,15
"2005-05-27",NA,NA,15
"2005-05-28",1.58,0.225,15
"2005-05-29",NA,NA,15
"2005-05-30",NA,NA,15
"2005-05-31",NA,NA,15
"2005-06-01",NA,NA,15
"2005-06-02",NA,NA,15
"2005-06-03",1.33,0.494,15
"2005-06-04",NA,NA,15
"2005-06-05",NA,NA,15
"2005-06-06",NA,NA,15
"2005-06-07",NA,NA,15
"2005-06-08",NA,NA,15
"2005-06-09",NA,NA,15
"2005-06-10",NA,NA,15
"2005-06-11",NA,NA,15
"2005-06-12",NA,NA,15
"2005-06-13",NA,NA,15
"2005-06-14",NA,NA,15
"2005-06-15",2.25,0.572,15
"2005-06-16",NA,NA,15
"2005-06-17",NA,NA,15
"2005-06-18",NA,NA,15
"2005-06-19",NA,NA,15
"2005-06-20",NA,NA,15
"2005-06-21",2.94,0.34,15
"2005-06-22",NA,NA,15
"2005-06-23",NA,NA,15
"2005-06-24",NA,NA,15
"2005-06-25",NA,NA,15
"2005-06-26",NA,NA,15
"2005-06-27",NA,NA,15
"2005-06-28",NA,NA,15
"2005-06-29",NA,NA,15
"2005-06-30",NA,NA,15
"2005-07-01",NA,NA,15
"2005-07-02",NA,NA,15
"2005-07-03",NA,NA,15
"2005-07-04",NA,NA,15
"2005-07-05",NA,NA,15
"2005-07-06",NA,NA,15
"2005-07-07",NA,NA,15
"2005-07-08",NA,NA,15
"2005-07-09",1.49,0.353,15
"2005-07-10",NA,NA,15
"2005-07-11",NA,NA,15
"2005-07-12",NA,NA,15
"2005-07-13",NA,NA,15
"2005-07-14",NA,NA,15
"2005-07-15",2.2,0.374,15
"2005-07-16",NA,NA,15
"2005-07-17",NA,NA,15
"2005-07-18",NA,NA,15
"2005-07-19",NA,NA,15
"2005-07-20",NA,NA,15
"2005-07-21",1.68,0.512,15
"2005-07-22",NA,NA,15
"2005-07-23",NA,NA,15
"2005-07-24",NA,NA,15
"2005-07-25",NA,NA,15
"2005-07-26",NA,NA,15
"2005-07-27",NA,NA,15
"2005-07-28",NA,NA,15
"2005-07-29",NA,NA,15
"2005-07-30",NA,NA,15
"2005-07-31",NA,NA,15
"2005-08-01",NA,NA,15
"2005-08-02",NA,NA,15
"2005-08-03",NA,NA,15
"2005-08-04",NA,NA,15
"2005-08-05",NA,NA,15
"2005-08-06",NA,NA,15
"2005-08-07",NA,NA,15
"2005-08-08",NA,NA,15
"2005-08-09",NA,NA,15
"2005-08-10",NA,NA,15
"2005-08-11",NA,NA,15
"2005-08-12",NA,NA,15
"2005-08-13",NA,NA,15
"2005-08-14",1.08,0.208,15
"2005-08-15",NA,NA,15
"2005-08-16",NA,NA,15
"2005-08-17",NA,NA,15
"2005-08-18",NA,NA,15
"2005-08-19",NA,NA,15
"2005-08-20",0.85,0.109,15
"2005-08-21",NA,NA,15
"2005-08-22",NA,NA,15
"2005-08-23",NA,NA,15
"2005-08-24",NA,NA,15
"2005-08-25",NA,NA,15
"2005-08-26",1.4,0.287,15
"2005-08-27",NA,NA,15
"2005-08-28",NA,NA,15
"2005-08-29",NA,NA,15
"2005-08-30",NA,NA,15
"2005-08-31",NA,NA,15
"2005-09-01",NA,NA,15
"2005-09-02",NA,NA,15
"2005-09-03",NA,NA,15
"2005-09-04",NA,NA,15
"2005-09-05",NA,NA,15
"2005-09-06",NA,NA,15
"2005-09-07",NA,NA,15
"2005-09-08",NA,NA,15
"2005-09-09",NA,NA,15
"2005-09-10",NA,NA,15
"2005-09-11",NA,NA,15
"2005-09-12",NA,NA,15
"2005-09-13",0.972,0.308,15
"2005-09-14",NA,NA,15
"2005-09-15",NA,NA,15
"2005-09-16",NA,NA,15
"2005-09-17",NA,NA,15
"2005-09-18",NA,NA,15
"2005-09-19",1.12,0.277,15
"2005-09-20",NA,NA,15
"2005-09-21",NA,NA,15
"2005-09-22",NA,NA,15
"2005-09-23",NA,NA,15
"2005-09-24",NA,NA,15
"2005-09-25",0.994,0.22,15
"2005-09-26",NA,NA,15
"2005-09-27",NA,NA,15
"2005-09-28",NA,NA,15
"2005-09-29",NA,NA,15
"2005-09-30",NA,NA,15
"2005-10-01",NA,NA,15
"2005-10-02",NA,NA,15
"2005-10-03",NA,NA,15
"2005-10-04",NA,NA,15
"2005-10-05",NA,NA,15
"2005-10-06",NA,NA,15
"2005-10-07",1.35,0.329,15
"2005-10-08",NA,NA,15
"2005-10-09",NA,NA,15
"2005-10-10",NA,NA,15
"2005-10-11",NA,NA,15
"2005-10-12",NA,NA,15
"2005-10-13",NA,NA,15
"2005-10-14",NA,NA,15
"2005-10-15",NA,NA,15
"2005-10-16",NA,NA,15
"2005-10-17",NA,NA,15
"2005-10-18",NA,NA,15
"2005-10-19",0.562,0.931,15
"2005-10-20",NA,NA,15
"2005-10-21",NA,NA,15
"2005-10-22",NA,NA,15
"2005-10-23",NA,NA,15
"2005-10-24",NA,NA,15
"2005-10-25",2.34,0.205,15
"2005-10-26",NA,NA,15
"2005-10-27",NA,NA,15
"2005-10-28",NA,NA,15
"2005-10-29",NA,NA,15
"2005-10-30",NA,NA,15
"2005-10-31",1.82,0.308,15
"2005-11-01",NA,NA,15
"2005-11-02",NA,NA,15
"2005-11-03",NA,NA,15
"2005-11-04",NA,NA,15
"2005-11-05",NA,NA,15
"2005-11-06",1.26,0.481,15
"2005-11-07",NA,NA,15
"2005-11-08",NA,NA,15
"2005-11-09",NA,NA,15
"2005-11-10",NA,NA,15
"2005-11-11",NA,NA,15
"2005-11-12",1.05,0.718,15
"2005-11-13",NA,NA,15
"2005-11-14",NA,NA,15
"2005-11-15",NA,NA,15
"2005-11-16",NA,NA,15
"2005-11-17",NA,NA,15
"2005-11-18",NA,NA,15
"2005-11-19",NA,NA,15
"2005-11-20",NA,NA,15
"2005-11-21",NA,NA,15
"2005-11-22",NA,NA,15
"2005-11-23",NA,NA,15
"2005-11-24",0.788,0.956,15
"2005-11-25",NA,NA,15
"2005-11-26",NA,NA,15
"2005-11-27",NA,NA,15
"2005-11-28",NA,NA,15
"2005-11-29",NA,NA,15
"2005-11-30",NA,NA,15
"2005-12-01",NA,NA,15
"2005-12-02",NA,NA,15
"2005-12-03",NA,NA,15
"2005-12-04",NA,NA,15
"2005-12-05",NA,NA,15
"2005-12-06",NA,NA,15
"2005-12-07",NA,NA,15
"2005-12-08",NA,NA,15
"2005-12-09",NA,NA,15
"2005-12-10",NA,NA,15
"2005-12-11",NA,NA,15
"2005-12-12",0.829,1.81,15
"2005-12-13",NA,NA,15
"2005-12-14",NA,NA,15
"2005-12-15",NA,NA,15
"2005-12-16",NA,NA,15
"2005-12-17",NA,NA,15
"2005-12-18",0.772,1.8,15
"2005-12-19",NA,NA,15
"2005-12-20",NA,NA,15
"2005-12-21",NA,NA,15
"2005-12-22",NA,NA,15
"2005-12-23",NA,NA,15
"2005-12-24",0.475,2.05,15
"2005-12-25",NA,NA,15
"2005-12-26",NA,NA,15
"2005-12-27",NA,NA,15
"2005-12-28",NA,NA,15
"2005-12-29",NA,NA,15
"2005-12-30",0.66,1.76,15
"2005-12-31",NA,NA,15
"2006-01-01",NA,NA,15
"2006-01-02",NA,NA,15
"2006-01-03",NA,NA,15
"2006-01-04",NA,NA,15
"2006-01-05",NA,NA,15
"2006-01-06",NA,NA,15
"2006-01-07",NA,NA,15
"2006-01-08",NA,NA,15
"2006-01-09",NA,NA,15
"2006-01-10",NA,NA,15
"2006-01-11",0.404,0.75,15
"2006-01-12",NA,NA,15
"2006-01-13",NA,NA,15
"2006-01-14",NA,NA,15
"2006-01-15",NA,NA,15
"2006-01-16",NA,NA,15
"2006-01-17",NA,NA,15
"2006-01-18",NA,NA,15
"2006-01-19",NA,NA,15
"2006-01-20",NA,NA,15
"2006-01-21",NA,NA,15
"2006-01-22",NA,NA,15
"2006-01-23",NA,NA,15
"2006-01-24",NA,NA,15
"2006-01-25",NA,NA,15
"2006-01-26",NA,NA,15
"2006-01-27",NA,NA,15
"2006-01-28",NA,NA,15
"2006-01-29",0.638,3.14,15
"2006-01-30",NA,NA,15
"2006-01-31",NA,NA,15
"2006-02-01",NA,NA,15
"2006-02-02",NA,NA,15
"2006-02-03",NA,NA,15
"2006-02-04",0.782,0.638,15
"2006-02-05",NA,NA,15
"2006-02-06",NA,NA,15
"2006-02-07",NA,NA,15
"2006-02-08",NA,NA,15
"2006-02-09",NA,NA,15
"2006-02-10",1.06,2.69,15
"2006-02-11",NA,NA,15
"2006-02-12",NA,NA,15
"2006-02-13",NA,NA,15
"2006-02-14",NA,NA,15
"2006-02-15",NA,NA,15
"2006-02-16",1.15,1.95,15
"2006-02-17",NA,NA,15
"2006-02-18",NA,NA,15
"2006-02-19",NA,NA,15
"2006-02-20",NA,NA,15
"2006-02-21",NA,NA,15
"2006-02-22",NA,NA,15
"2006-02-23",NA,NA,15
"2006-02-24",NA,NA,15
"2006-02-25",NA,NA,15
"2006-02-26",NA,NA,15
"2006-02-27",NA,NA,15
"2006-02-28",0.754,0.623,15
"2006-03-01",NA,NA,15
"2006-03-02",NA,NA,15
"2006-03-03",NA,NA,15
"2006-03-04",NA,NA,15
"2006-03-05",NA,NA,15
"2006-03-06",0.867,1.36,15
"2006-03-07",NA,NA,15
"2006-03-08",NA,NA,15
"2006-03-09",NA,NA,15
"2006-03-10",NA,NA,15
"2006-03-11",NA,NA,15
"2006-03-12",NA,NA,15
"2006-03-13",NA,NA,15
"2006-03-14",NA,NA,15
"2006-03-15",NA,NA,15
"2006-03-16",NA,NA,15
"2006-03-17",NA,NA,15
"2006-03-18",0.633,0.535,15
"2006-03-19",NA,NA,15
"2006-03-20",NA,NA,15
"2006-03-21",NA,NA,15
"2006-03-22",NA,NA,15
"2006-03-23",NA,NA,15
"2006-03-24",1.34,0.254,15
"2006-03-25",NA,NA,15
"2006-03-26",NA,NA,15
"2006-03-27",NA,NA,15
"2006-03-28",NA,NA,15
"2006-03-29",NA,NA,15
"2006-03-30",0.732,0.699,15
"2006-03-31",NA,NA,15
"2006-04-01",NA,NA,15
"2006-04-02",NA,NA,15
"2006-04-03",NA,NA,15
"2006-04-04",NA,NA,15
"2006-04-05",0.419,0.177,15
"2006-04-06",NA,NA,15
"2006-04-07",NA,NA,15
"2006-04-08",NA,NA,15
"2006-04-09",NA,NA,15
"2006-04-10",NA,NA,15
"2006-04-11",0.802,0.454,15
"2006-04-12",NA,NA,15
"2006-04-13",NA,NA,15
"2006-04-14",NA,NA,15
"2006-04-15",NA,NA,15
"2006-04-16",NA,NA,15
"2006-04-17",0.84,0.403,15
"2006-04-18",NA,NA,15
"2006-04-19",NA,NA,15
"2006-04-20",NA,NA,15
"2006-04-21",NA,NA,15
"2006-04-22",NA,NA,15
"2006-04-23",1.1,0.441,15
"2006-04-24",NA,NA,15
"2006-04-25",NA,NA,15
"2006-04-26",NA,NA,15
"2006-04-27",NA,NA,15
"2006-04-28",NA,NA,15
"2006-04-29",1.15,0.526,15
"2006-04-30",NA,NA,15
"2006-05-01",NA,NA,15
"2006-05-02",NA,NA,15
"2006-05-03",NA,NA,15
"2006-05-04",NA,NA,15
"2006-05-05",1.48,0.671,15
"2006-05-06",NA,NA,15
"2006-05-07",NA,NA,15
"2006-05-08",NA,NA,15
"2006-05-09",NA,NA,15
"2006-05-10",NA,NA,15
"2006-05-11",1.69,0.563,15
"2006-05-12",NA,NA,15
"2006-05-13",NA,NA,15
"2006-05-14",NA,NA,15
"2006-05-15",NA,NA,15
"2006-05-16",NA,NA,15
"2006-05-17",NA,NA,15
"2006-05-18",NA,NA,15
"2006-05-19",NA,NA,15
"2006-05-20",NA,NA,15
"2006-05-21",NA,NA,15
"2006-05-22",NA,NA,15
"2006-05-23",NA,NA,15
"2006-05-24",NA,NA,15
"2006-05-25",NA,NA,15
"2006-05-26",NA,NA,15
"2006-05-27",NA,NA,15
"2006-05-28",NA,NA,15
"2006-05-29",0.902,0.374,15
"2006-05-30",NA,NA,15
"2006-05-31",NA,NA,15
"2006-06-01",NA,NA,15
"2006-06-02",NA,NA,15
"2006-06-03",NA,NA,15
"2006-06-04",2.08,0.379,15
"2006-06-05",NA,NA,15
"2006-06-06",NA,NA,15
"2006-06-07",NA,NA,15
"2006-06-08",NA,NA,15
"2006-06-09",NA,NA,15
"2006-06-10",1.14,0.224,15
"2006-06-11",NA,NA,15
"2006-06-12",NA,NA,15
"2006-06-13",NA,NA,15
"2006-06-14",NA,NA,15
"2006-06-15",NA,NA,15
"2006-06-16",1.02,0.289,15
"2006-06-17",NA,NA,15
"2006-06-18",NA,NA,15
"2006-06-19",NA,NA,15
"2006-06-20",NA,NA,15
"2006-06-21",NA,NA,15
"2006-06-22",NA,NA,15
"2006-06-23",NA,NA,15
"2006-06-24",NA,NA,15
"2006-06-25",NA,NA,15
"2006-06-26",NA,NA,15
"2006-06-27",NA,NA,15
"2006-06-28",NA,NA,15
"2006-06-29",NA,NA,15
"2006-06-30",NA,NA,15
"2006-07-01",NA,NA,15
"2006-07-02",NA,NA,15
"2006-07-03",NA,NA,15
"2006-07-04",2.34,0.839,15
"2006-07-05",NA,NA,15
"2006-07-06",NA,NA,15
"2006-07-07",NA,NA,15
"2006-07-08",NA,NA,15
"2006-07-09",NA,NA,15
"2006-07-10",1.4,0.411,15
"2006-07-11",NA,NA,15
"2006-07-12",NA,NA,15
"2006-07-13",NA,NA,15
"2006-07-14",NA,NA,15
"2006-07-15",NA,NA,15
"2006-07-16",1.37,0.469,15
"2006-07-17",NA,NA,15
"2006-07-18",NA,NA,15
"2006-07-19",NA,NA,15
"2006-07-20",NA,NA,15
"2006-07-21",NA,NA,15
"2006-07-22",2.1,0.2,15
"2006-07-23",NA,NA,15
"2006-07-24",NA,NA,15
"2006-07-25",NA,NA,15
"2006-07-26",NA,NA,15
"2006-07-27",NA,NA,15
"2006-07-28",NA,NA,15
"2006-07-29",NA,NA,15
"2006-07-30",NA,NA,15
"2006-07-31",NA,NA,15
"2006-08-01",NA,NA,15
"2006-08-02",NA,NA,15
"2006-08-03",1.47,0.355,15
"2006-08-04",NA,NA,15
"2006-08-05",NA,NA,15
"2006-08-06",NA,NA,15
"2006-08-07",NA,NA,15
"2006-08-08",NA,NA,15
"2006-08-09",NA,NA,15
"2006-08-10",NA,NA,15
"2006-08-11",1.12,0.315,15
"2006-08-12",NA,NA,15
"2006-08-13",NA,NA,15
"2006-08-14",NA,NA,15
"2006-08-15",NA,NA,15
"2006-08-16",1.31,0.39,15
"2006-08-17",NA,NA,15
"2006-08-18",NA,NA,15
"2006-08-19",NA,NA,15
"2006-08-20",NA,NA,15
"2006-08-21",1.58,0.412,15
"2006-08-22",NA,NA,15
"2006-08-23",NA,NA,15
"2006-08-24",NA,NA,15
"2006-08-25",NA,NA,15
"2006-08-26",NA,NA,15
"2006-08-27",1.69,0.333,15
"2006-08-28",NA,NA,15
"2006-08-29",NA,NA,15
"2006-08-30",NA,NA,15
"2006-08-31",NA,NA,15
"2006-09-01",NA,NA,15
"2006-09-02",NA,NA,15
"2006-09-03",NA,NA,15
"2006-09-04",NA,NA,15
"2006-09-05",NA,NA,15
"2006-09-06",1.18,0.106,15
"2006-09-07",NA,NA,15
"2006-09-08",NA,NA,15
"2006-09-09",NA,NA,15
"2006-09-10",NA,NA,15
"2006-09-11",NA,NA,15
"2006-09-12",NA,NA,15
"2006-09-13",NA,NA,15
"2006-09-14",1.33,0.163,15
"2006-09-15",NA,NA,15
"2006-09-16",NA,NA,15
"2006-09-17",NA,NA,15
"2006-09-18",NA,NA,15
"2006-09-19",NA,NA,15
"2006-09-20",0.924,0.303,15
"2006-09-21",NA,NA,15
"2006-09-22",NA,NA,15
"2006-09-23",NA,NA,15
"2006-09-24",NA,NA,15
"2006-09-25",NA,NA,15
"2006-09-26",NA,NA,15
"2006-09-27",NA,NA,15
"2006-09-28",NA,NA,15
"2006-09-29",NA,NA,15
"2006-09-30",NA,NA,15
"2006-10-01",NA,NA,15
"2006-10-02",NA,NA,15
"2006-10-03",NA,NA,15
"2006-10-04",NA,NA,15
"2006-10-05",NA,NA,15
"2006-10-06",NA,NA,15
"2006-10-07",NA,NA,15
"2006-10-08",0.892,0.259,15
"2006-10-09",NA,NA,15
"2006-10-10",NA,NA,15
"2006-10-11",NA,NA,15
"2006-10-12",NA,NA,15
"2006-10-13",NA,NA,15
"2006-10-14",0.674,0.437,15
"2006-10-15",NA,NA,15
"2006-10-16",NA,NA,15
"2006-10-17",NA,NA,15
"2006-10-18",NA,NA,15
"2006-10-19",NA,NA,15
"2006-10-20",0.877,0.189,15
"2006-10-21",NA,NA,15
"2006-10-22",NA,NA,15
"2006-10-23",NA,NA,15
"2006-10-24",NA,NA,15
"2006-10-25",NA,NA,15
"2006-10-26",0.234,0.0915,15
"2006-10-27",NA,NA,15
"2006-10-28",NA,NA,15
"2006-10-29",NA,NA,15
"2006-10-30",NA,NA,15
"2006-10-31",NA,NA,15
"2006-11-01",NA,NA,15
"2006-11-02",NA,NA,15
"2006-11-03",NA,NA,15
"2006-11-04",NA,NA,15
"2006-11-05",NA,NA,15
"2006-11-06",NA,NA,15
"2006-11-07",NA,0.44,15
"2006-11-08",NA,NA,15
"2006-11-09",NA,NA,15
"2006-11-10",NA,NA,15
"2006-11-11",NA,NA,15
"2006-11-12",NA,NA,15
"2006-11-13",NA,NA,15
"2006-11-14",NA,NA,15
"2006-11-15",NA,NA,15
"2006-11-16",NA,NA,15
"2006-11-17",NA,NA,15
"2006-11-18",NA,NA,15
"2006-11-19",0.613,0.195,15
"2006-11-20",NA,NA,15
"2006-11-21",NA,NA,15
"2006-11-22",NA,NA,15
"2006-11-23",NA,NA,15
"2006-11-24",NA,NA,15
"2006-11-25",1.57,0.407,15
"2006-11-26",NA,NA,15
"2006-11-27",NA,NA,15
"2006-11-28",NA,NA,15
"2006-11-29",NA,NA,15
"2006-11-30",NA,NA,15
"2006-12-01",0.417,1.36,15
"2006-12-02",NA,NA,15
"2006-12-03",NA,NA,15
"2006-12-04",NA,NA,15
"2006-12-05",NA,NA,15
"2006-12-06",NA,NA,15
"2006-12-07",0.354,0.279,15
"2006-12-08",NA,NA,15
"2006-12-09",NA,NA,15
"2006-12-10",NA,NA,15
"2006-12-11",NA,NA,15
"2006-12-12",NA,NA,15
"2006-12-13",NA,NA,15
"2006-12-14",NA,NA,15
"2006-12-15",NA,NA,15
"2006-12-16",0.887,0.713,15
"2006-12-17",NA,NA,15
"2006-12-18",NA,NA,15
"2006-12-19",0.311,0.904,15
"2006-12-20",NA,NA,15
"2006-12-21",NA,NA,15
"2006-12-22",NA,NA,15
"2006-12-23",NA,NA,15
"2006-12-24",NA,NA,15
"2006-12-25",0.36,3.24,15
"2006-12-26",NA,NA,15
"2006-12-27",NA,NA,15
"2006-12-28",NA,NA,15
"2006-12-29",NA,NA,15
"2006-12-30",NA,NA,15
"2006-12-31",1.15,6.41,15
